,FSC,SSC
P1_A1,23286,435
P1_A2,43290,618
P1_A3,19988,119
P1_A4,33893,623
P1_A5,21442,309
P1_A6,17196,181
P1_A7,32494,658
P1_A8,15391,1524
P1_A9,36644,711
P1_A10,39018,263
P1_A11,12817,179
P1_A12,30756,286
P1_A13,34986,674
P1_A14,35359,680
P1_A15,44531,647
P1_A16,33354,322
P1_A17,17560,94
P1_A18,17773,362
P1_A19,NaN,NaN
P1_A21,30426,580
P1_A22,12779,493
P1_A23,33868,560
P1_A24,33894,420
P1_A25,31120,430
P1_B1,45139,656
P1_B2,32742,503
P1_B3,47823,620
P1_B4,22455,152
P1_B5,26042,169
P1_B6,40728,814
P1_B7,29475,533
P1_B8,48179,591
P1_B9,21510,236
P1_B10,16042,108
P1_B11,42184,160
P1_B12,17432,193
P1_B13,37147,1569
P1_B14,34148,83
P1_B15,40755,1218
P1_B16,18469,80
P1_B17,43904,501
P1_B18,15555,94
P1_B20,24809,2085
P1_B21,20629,796
P1_B22,15354,122
P1_B23,24675,316
P1_B24,31449,578
P1_B25,18662,310
P1_C1,33568,1216
P1_C2,28113,295
P1_C3,33788,529
P1_C4,39807,657
P1_C5,32345,137
P1_C6,31762,296
P1_C7,39089,411
P1_C8,43565,723
P1_C9,43685,478
P1_C10,31852,661
P1_C11,44714,378
P1_C12,16169,74
P1_C13,14602,207
P1_C14,15994,171
P1_C15,16592,1856
P1_C16,23035,1862
P1_C17,17048,872
P1_C18,30988,420
P1_C19,36654,448
P1_C21,32824,461
P1_C22,22796,828
P1_C23,NaN,NaN
P1_C24,42371,506
P1_C25,34854,357
P1_D1,17501,544
P1_D2,12037,228
P1_D3,35582,511
P1_D4,19941,230
P1_D5,22904,238
P1_D6,45601,482
P1_D7,33238,426
P1_D8,17094,218
P1_D9,16367,617
P1_D10,23664,352
P1_D11,27037,202
P1_D12,16887,284
P1_D13,26259,122
P1_D14,27448,544
P1_D15,28679,59
P1_D16,39537,529
P1_D17,37807,626
P1_D18,NaN,NaN
P1_D20,27999,274
P1_D21,38816,623
P1_D22,31266,381
P1_D23,13394,1041
P1_D24,29139,1175
P1_D25,40812,1045
P1_E1,22717,628
P1_E2,46498,465
P1_E3,16499,168
P1_E4,25051,237
P1_E5,39514,408
P1_E6,25883,714
P1_E7,14004,337
P1_E8,32562,572
P1_E9,44866,589
P1_E10,20965,129
P1_E11,35698,315
P1_E12,11971,136
P1_E13,29555,135
P1_E14,43771,584
P1_E15,34004,328
P1_E16,36177,2495
P1_E17,35279,511
P1_E18,36512,476
P1_E19,24383,559
P1_E21,29319,147
P1_E22,12103,179
P1_E23,41984,620
P1_E24,35056,530
P1_E25,33474,546
P1_F1,17990,195
P1_F2,20933,237
P1_F3,29791,353
P1_F4,18016,207
P1_F5,38239,526
P1_F6,30943,331
P1_F7,42579,544
P1_F8,29169,550
P1_F9,18986,73
P1_F10,41907,136
P1_F11,21605,186
P1_F12,40720,518
P1_F13,37480,471
P1_F14,21937,130
P1_F15,39814,829
P1_F16,20579,58
P1_F17,42214,148
P1_F18,NaN,NaN
P1_F20,27459,247
P1_F21,14485,93
P1_F22,36413,449
P1_F23,23924,338
P1_F24,16394,433
P1_F25,16046,231
P1_G1,NaN,NaN
P1_G2,24004,258
P1_G3,35412,514
P1_G4,12321,341
P1_G5,21670,71
P1_G6,19456,266
P1_G7,24526,285
P1_G8,33364,368
P1_G9,24677,212
P1_G10,11948,197
P1_G11,12545,116
P1_G12,21418,194
P1_G13,17227,384
P1_G14,32848,685
P1_G15,12120,399
P1_G16,31910,380
P1_G17,41861,295
P1_G18,26297,1028
P1_G19,39520,421
P1_G21,36789,478
P1_G22,17973,198
P1_G23,12471,199
P1_G24,NaN,NaN
P1_G25,30688,706
P1_H1,36719,902
P1_H2,13054,932
P1_H3,28472,195
P1_H4,22394,300
P1_H5,NaN,NaN
P1_H6,19169,101
P1_H7,NaN,NaN
P1_H8,44429,353
P1_H9,16444,95
P1_H10,11042,219
P1_H11,22290,118
P1_H12,32168,870
P1_H13,41271,507
P1_H14,12434,549
P1_H15,37548,394
P1_H16,15060,121
P1_H17,34363,436
P1_H18,13505,116
P1_H20,45419,662
P1_H21,11526,387
P1_H22,12904,106
P1_H23,37471,209
P1_H24,14931,233
P1_H25,44098,567
P1_I1,22899,1093
P1_I2,22192,205
P1_I3,13511,749
P1_I4,33682,523
P1_I5,32178,567
P1_I6,15938,292
P1_I7,39896,767
P1_I8,26662,521
P1_I9,53089,1147
P1_I10,14213,244
P1_I11,24422,2472
P1_I12,15191,488
P1_I13,19226,301
P1_I14,37255,506
P1_I15,39496,517
P1_I16,35954,645
P1_I17,45746,671
P1_I18,37970,561
P1_I19,16308,246
P1_I21,33350,306
P1_I22,40536,375
P1_I23,39788,367
P1_I24,30001,1187
P1_I25,31672,672
P1_J1,43105,777
P1_J2,37902,442
P1_J3,39405,500
P1_J4,40743,655
P1_J5,30969,276
P1_J6,25729,392
P1_J7,NaN,NaN
P1_J8,34623,360
P1_J9,43673,640
P1_J10,16077,85
P1_J11,23610,555
P1_J12,NaN,NaN
P1_J13,32432,118
P1_J14,33661,430
P1_J15,41857,733
P1_J16,20494,2206
P1_J17,26155,525
P1_J18,35762,391
P1_J20,37334,443
P1_J21,35019,636
P1_J22,32381,343
P1_J23,38790,596
P1_J24,38282,451
P1_J25,NaN,NaN
P1_K1,34214,491
P1_K2,27734,698
P1_K3,34630,327
P1_K4,16403,235
P1_K5,20668,207
P1_K6,26828,507
P1_K7,26402,167
P1_K8,22000,437
P1_K9,18523,70
P1_K10,19726,624
P1_K11,27747,520
P1_K12,38517,410
P1_K13,29646,407
P1_K14,26043,161
P1_K15,32588,440
P1_K16,NaN,NaN
P1_K17,35464,590
P1_K18,29886,288
P1_K19,41153,787
P1_K21,28920,197
P1_K22,21456,207
P1_K23,32371,482
P1_K24,13668,130
P1_K25,44120,511
P1_L1,18516,334
P1_L2,30919,618
P1_L3,45579,600
P1_L4,33048,350
P1_L5,38913,353
P1_L6,14740,115
P1_L7,34602,474
P1_L8,41216,280
P1_L9,28183,336
P1_L10,27858,430
P1_L11,41352,554
P1_L12,25475,1184
P1_L13,37643,805
P1_L14,37348,374
P1_L15,13766,322
P1_L16,14071,865
P1_L17,31796,503
P1_L18,42505,606
P1_L20,44253,481
P1_L21,41545,534
P1_L22,17698,533
P1_L23,27532,431
P1_L24,25992,505
P1_L25,43888,410
P1_M1,20012,291
P1_M2,42497,328
P1_M3,33938,350
P1_M4,43658,652
P1_M5,12930,136
P1_M6,NaN,NaN
P1_M7,28513,257
P1_M8,17342,206
P1_M9,NaN,NaN
P1_M10,22581,648
P1_M11,18870,104
P1_M12,13901,397
P1_M13,37881,299
P1_M14,13828,246
P1_M15,30016,478
P1_M16,26752,271
P1_M17,36922,311
P1_M18,36368,335
P1_M19,28772,805
P1_M21,31204,133
P1_M22,36924,487
P1_M23,13072,355
P1_M24,30065,324
P1_M25,44422,561
P1_N1,13189,586
P1_N2,32833,500
P1_N3,30914,329
P1_N4,21082,324
P1_N5,50271,581
P1_N6,38650,351
P1_N7,37255,444
P1_N8,37337,450
P1_N9,18496,57
P1_N10,37010,545
P1_N11,NaN,NaN
P1_N12,NaN,NaN
P1_N13,20863,419
P1_N14,NaN,NaN
P1_N15,NaN,NaN
P1_N16,19771,429
P1_N17,NaN,NaN
P1_N18,NaN,NaN
P1_N20,20127,279
P1_N21,37597,544
P1_N22,NaN,NaN
P1_N23,28475,308
P1_N24,43046,585
P1_N25,37448,493
P1_O1,36666,643
P1_O2,42124,491
P1_O3,37707,386
P1_O4,40380,545
P1_O5,13131,269
P1_O6,41327,735
P1_O7,43008,735
P1_O8,30085,586
P1_O9,27709,234
